ablation,setting,seed,survivable,latency,lam2,energy,budget
C_budget,frac=0.025,21,1.0,,,0.9995647387936027,0.3717784542144962
C_budget,frac=0.035,21,1.0,,,0.9995647387936027,0.5204898359002947
C_budget,frac=0.05,21,1.0,,,0.9995647387936027,0.7435569084289924
C_budget,frac=0.07,21,1.0,,,0.9995647387936027,1.0409796718005895
A_components,none,22,0.875,120,,,
A_components,warm-start,22,0.9338235294117647,43,,,
A_components,warm-start+pull,22,0.9926470588235294,45,,,
B_weight,W=0,22,1.0,,0.035446332330956724,,
B_weight,W=1,22,0.9926470588235294,,0.05241873986042068,,
B_weight,W=2,22,0.9926470588235294,,0.05241873986042068,,
B_weight,W=5,22,0.9926470588235294,,0.057754705385897526,,
C_budget,frac=0.025,22,0.9779411764705882,,,0.34652504634188,0.36292473954978766
C_budget,frac=0.035,22,0.9926470588235294,,,0.4513568228288018,0.5080946353697028
C_budget,frac=0.05,22,0.9926470588235294,,,0.714965402250783,0.7258494790995753
C_budget,frac=0.07,22,1.0,,,0.9035073654635093,1.0161892707394056
A_components,none,23,0.8208955223880597,24,,,
A_components,warm-start,23,0.9552238805970149,29,,,
A_components,warm-start+pull,23,1.0,67,,,
B_weight,W=0,23,1.0,,0.027139797378266623,,
B_weight,W=1,23,1.0,,0.03354935996274996,,
B_weight,W=2,23,1.0,,0.03326076850709249,,
B_weight,W=5,23,1.0,,0.03326076850709249,,
C_budget,frac=0.025,23,0.8208955223880597,,,0.3613558136297251,0.37057310019514217
C_budget,frac=0.035,23,1.0,,,0.49468074255092764,0.518802340273199
C_budget,frac=0.05,23,1.0,,,0.7395724022644279,0.7411462003902843
C_budget,frac=0.07,23,1.0,,,1.0221690917858037,1.037604680546398
A_components,none,26,0.725925925925926,42,,,
A_components,warm-start,26,0.5925925925925926,75,,,
A_components,warm-start+pull,26,0.9851851851851852,114,,,
B_weight,W=0,26,0.9851851851851852,,0.017755634775567748,,
B_weight,W=1,26,0.9851851851851852,,0.01829543296507089,,
B_weight,W=2,26,0.9851851851851852,,0.01829543296507089,,
B_weight,W=5,26,0.9777777777777777,,0.05007104403644075,,
C_budget,frac=0.025,26,0.9037037037037037,,,0.3612194713172772,0.361254603495914
C_budget,frac=0.035,26,0.9851851851851852,,,0.4884815613267579,0.5057564448942796
C_budget,frac=0.05,26,1.0,,,0.7210951063553885,0.722509206991828
C_budget,frac=0.07,26,1.0,,,0.9959984858126103,1.0115128897885592
A_components,none,24,0.9779411764705882,72,,,
A_components,warm-start,24,1.0,65,,,
