method,seed,gw_survivable,energy,edges,latency
QIEA+AI,18,0.8715596330275229,3.405102634065897,130,120
QIEA-noAI,18,0.6972477064220184,3.3120278502852245,127,120
GA,18,0.9128440366972477,3.1159836219648587,126,67
SA,18,0.8853211009174312,3.0926374282318685,134,2743
greedy,18,0.6788990825688074,0.08772168238981334,3,3
greedy-conn,18,1.0,1.3042074155476373,72,72
QIEA+AI,19,0.8532110091743119,3.6359386820433386,137,120
QIEA-noAI,19,0.8027522935779816,3.4106929194947497,131,120
GA,19,0.9128440366972477,3.090385339709639,122,72
SA,19,0.8211009174311926,3.072142668070434,129,21
greedy,19,0.7660550458715596,0.017189188150080425,1,1
greedy-conn,19,0.9954128440366973,1.506890048414728,80,80
QIEA+AI,20,0.9128440366972477,4.061820362160624,154,120
QIEA-noAI,20,0.8899082568807339,3.9315883136870866,149,120
GA,20,0.9587155963302753,3.2385730917700144,129,55
SA,20,0.9036697247706422,3.286972549716324,127,2909
greedy,20,0.7981651376146789,0.06785622916285473,3,3
greedy-conn,20,0.9908256880733946,1.2738839186974191,72,72
QIEA+AI,21,0.9174311926605505,3.3685239428326965,138,120
QIEA-noAI,21,0.8440366972477065,3.704796187909816,139,120
GA,21,0.908256880733945,3.108304108425382,120,56
SA,21,0.8853211009174312,3.115559930068614,137,2345
greedy,21,0.8119266055045872,0.0,0,0
greedy-conn,21,0.9954128440366973,1.1235809717159704,65,65
QIEA+AI,23,0.9403669724770642,3.2215924397485027,121,77
QIEA-noAI,23,0.8807339449541285,3.2508978781509246,119,62
GA,23,0.9541284403669725,3.282752865042238,130,63
SA,23,0.9311926605504587,3.2854442604693572,139,2556
greedy,23,0.0,0.0,0,0
greedy-conn,23,1.0,1.2289058543651212,66,66
QIEA+AI,22,0.8944954128440367,4.082278624991701,155,120
QIEA-noAI,22,0.8073394495412844,3.707871666759587,139,120
GA,22,0.8990825688073395,3.3145540105654954,135,62
SA,22,0.8623853211009175,3.309312156125439,140,0
greedy,22,0.7935779816513762,0.12914465674461573,6,6
greedy-conn,22,1.0,1.4501197451361256,77,77
QIEA+AI,25,0.9495412844036697,4.07602859646833,160,120
QIEA-noAI,25,0.8944954128440367,3.6210245673251467,139,120
GA,25,0.9403669724770642,3.0986934902441616,120,65
SA,25,0.8899082568807339,3.138451299019219,132,25
greedy,25,0.7752293577981652,0.03179157324097691,1,1
greedy-conn,25,1.0,1.224483319404939,65,65
QIEA+AI,24,0.8119266055045872,3.394802235497311,134,120
QIEA-noAI,24,0.8119266055045872,3.1108988714408694,120,91
GA,24,0.8853211009174312,3.2451085981454346,127,66
SA,24,0.8623853211009175,3.2485668650858956,140,3402
greedy,24,0.7798165137614679,0.0,0,0
greedy-conn,24,0.9954128440366973,1.4361119543659961,77,77
QIEA+AI,26,0.8440366972477065,3.2449314158291784,130,120
